Date,NDVI,NBR,Image_Count
2017-01-15,0.075,0.3089,2
2017-02-15,0.0132,0.3834,2
2017-03-15,0.1576,0.3519,3
2017-04-15,0.2268,0.2207,2
2017-05-15,0.5011,0.2181,4
2017-06-15,0.4489,0.1643,5
2017-07-15,0.4106,0.0977,6
2017-08-15,0.2899,0.069,7
2017-09-15,0.2559,0.0881,5
2017-10-15,0.3262,0.0375,4
2017-11-15,0.3438,0.0471,4
2017-12-15,0.3225,0.2137,1
2018-01-15,0.0402,0.3737,2
2018-02-15,0.4313,0.3036,2
2018-03-15,0.3255,0.3471,1
2018-04-15,0.2139,0.2447,2
2018-05-15,0.5197,0.2019,2
2018-06-15,0.3878,0.0916,5
2018-07-15,0.3896,0.111,7
2018-08-15,0.234,0.1502,2
2018-09-15,0.2962,0.0602,6
2018-10-15,0.1014,0.2593,4
2018-11-15,0.377,0.04,4
2018-12-15,0.2167,0.0931,16
2019-01-15,0.0365,0.3114,12
2019-02-15,0.0862,0.251,10
2019-03-15,0.1426,0.3444,10
2019-04-15,0.1595,0.2731,16
2019-05-15,0.4836,0.1832,23
2019-06-15,0.399,0.123,28
2019-07-15,0.3171,0.0917,23
2019-08-15,0.3127,0.018,27
2019-09-15,0.1046,0.0994,20
2019-10-15,0.264,0.0111,25
2019-11-15,0.1946,0.1328,21
2019-12-15,0.1824,0.2223,14
2020-01-15,0.2402,0.2489,17
2020-02-15,0.2571,0.2842,10
2020-03-15,0.2688,0.2531,10
2020-04-15,0.4451,0.2595,19
2020-05-15,0.4117,0.1654,17
2020-06-15,0.3691,0.1346,24
2020-07-15,0.3399,0.0775,28
2020-08-15,0.2572,0.0774,28
2020-09-15,0.1933,0.093,18
2020-10-15,0.2663,-0.0042,21
2020-11-15,0.24,-0.021,22
2020-12-15,0.1012,0.1458,15
2021-01-15,0.3086,0.2386,10
2021-02-15,0.3778,0.1773,20
2021-03-15,0.1275,0.2561,13
2021-04-15,0.4335,0.2518,23
2021-05-15,0.3673,0.2052,19
2021-06-15,0.3836,0.1126,25
2021-07-15,0.3499,0.0775,30
2021-08-15,0.3109,0.0438,27
2021-09-15,0.1995,0.0596,27
2021-10-15,0.272,0.0308,19
2021-11-15,0.222,0.0469,15
2021-12-15,0.213,0.1718,28
2022-01-15,0.283,0.1863,17
2022-02-15,0.1824,0.2526,11
2022-03-15,0.208,0.2896,11
2022-04-15,0.5084,0.2255,19
2022-05-15,0.4042,0.204,24
2022-06-15,0.3733,0.1279,31
2022-07-15,0.327,0.0733,31
2022-08-15,0.2863,0.0882,21
2022-09-15,0.257,0.0392,26
2022-10-15,0.2278,0.0212,28
2022-11-15,0.2106,0.0035,28
2022-12-15,0.2319,0.0449,21
2023-01-15,0.2078,0.1303,18
2023-02-15,0.142,0.3399,6
2023-03-15,0.097,0.2636,13
2023-04-15,0.4445,0.2358,26
2023-05-15,0.447,0.1919,19
2023-06-15,0.4138,0.1214,32
2023-07-15,0.344,0.0842,34
2023-08-15,0.3083,0.0524,32
2023-09-15,0.269,0.049,24
2023-10-15,0.1291,0.1339,20
2023-11-15,0.2736,0.0375,24
2023-12-15,0.048,0.261,17
2024-01-15,0.1412,0.2677,13
2024-02-15,0.3208,0.2999,14
2024-03-15,0.0288,0.3008,11
2024-04-15,0.2646,0.2745,25
2024-05-15,0.4677,0.2128,34
2024-06-15,0.4179,0.1356,25
2024-07-15,0.3612,0.1014,29
2024-08-15,0.3036,0.065,30
2024-09-15,0.2562,0.0663,29
2024-10-15,0.1061,0.1474,23
2024-11-15,0.1791,0.0826,17
2024-12-15,0.1218,0.2303,17
2025-01-15,0.1395,0.2629,10
2025-02-15,0.242,0.3155,10
2025-03-15,0.2011,0.2888,11
2025-04-15,0.4599,0.276,26
2025-05-15,0.4453,0.2201,39
2025-06-15,0.4131,0.1738,32
2025-07-15,0.3864,0.1087,40
2025-08-15,0.3246,0.0972,37
2025-09-15,0.1665,0.1004,27
2025-10-15,0.1314,0.1546,30
2025-11-15,0.2732,0.1195,32
2025-12-15,0.3342,0.0745,37
