Burned_Class,Elevation_m,Slope_deg,Aspect_deg,Longitude,Latitude
Unburned,4088,26.67,334.47,-73.98272077190701,-13.538869793808523
Unburned,4157,10.27,169.41,-73.99215308239027,-13.5259340537172
Unburned,4068,16.04,163.17,-73.99862095243593,-13.523778097035311
Unburned,3722,32.87,301.74,-74.00266337121447,-13.542642718001822
Unburned,4127,32.65,290.71,-73.96466463469622,-13.555308963507905
Unburned,3883,23.54,276.4,-73.99242257697551,-13.560698855212628
Unburned,3752,22.4,306.09,-73.96035272133244,-13.593038205440926
Unburned,3964,20.4,150.5,-73.98838015819697,-13.550188566388421
Unburned,3628,18.08,246.64,-73.97221048308282,-13.587109324565738
Unburned,3732,22.87,216.31,-73.97544441810565,-13.57686853032677
Unburned,4227,18.11,322.36,-73.98245127732179,-13.490899757636534
Unburned,3770,15.37,238.0,-73.99969893077687,-13.547493620536066
Unburned,3923,28.09,273.48,-73.96843755888952,-13.55638694184885
Unburned,4018,18.43,244.07,-74.00104640370306,-13.523778097035311
Unburned,3860,27.37,233.55,-73.95442384045725,-13.60354849426512
Unburned,3909,24.35,338.41,-73.96574261303716,-13.57525156281536
Unburned,4017,27.21,309.02,-73.99565651199833,-13.498445606023147
Unburned,3900,5.43,31.68,-74.0058973062373,-13.538869793808523
Unburned,3340,18.48,194.42,-73.99889044702117,-13.581180443690549
Unburned,4287,12.75,338.42,-73.97948683688419,-13.491708241392239
Unburned,3982,7.59,299.06,-74.00320236038495,-13.530515461666205
Unburned,4066,26.4,119.28,-73.94633900290017,-13.592499216270447
Unburned,3881,17.29,65.42,-73.98649369610033,-13.55207502848507
Unburned,4035,18.57,250.29,-73.99592600658357,-13.502218530216446
Unburned,3829,31.83,172.29,-73.96358665635528,-13.563932790235448
Unburned,3893,18.01,314.19,-73.99565651199833,-13.545607158439417
Unburned,3999,10.77,31.68,-73.99619550116881,-13.507877916506395
Unburned,3455,13.4,237.06,-73.97625290186136,-13.593307700026166
Unburned,3996,12.16,238.26,-73.96358665635528,-13.567705714428762
Unburned,4095,19.63,155.16,-73.9848767285889,-13.53321040751856
Unburned,4182,7.44,187.33,-73.98622420151509,-13.522700118694367
Unburned,3993,16.8,134.19,-73.9811038043956,-13.547493620536066
Unburned,3960,21.09,309.01,-74.00401084414065,-13.52997647249574
Unburned,3392,22.98,281.0,-74.01317366003867,-13.569861671110637
Unburned,3531,15.02,263.07,-74.01829405715814,-13.541295245075638
Unburned,4138,14.35,319.4,-73.98514622317414,-13.490360768466068
Unburned,3544,25.71,244.08,-73.96277817259956,-13.60166203216847
Unburned,4134,24.29,206.28,-73.94148810036593,-13.579832970764365
Unburned,4206,19.95,36.6,-73.9916140932198,-13.514615281137289
Unburned,3978,14.13,277.39,-74.00104640370306,-13.50464398148356
Unburned,3431,35.88,141.56,-73.98514622317414,-13.5792939815939
Unburned,3882,23.47,274.28,-73.97167149391235,-13.579832970764365
Unburned,3807,16.02,279.73,-73.99889044702117,-13.545607158439417
Unburned,3438,14.13,164.66,-73.97840885854325,-13.593846689196631
Unburned,3898,38.86,304.23,-73.95738828089485,-13.591151743344277
Unburned,3411,13.53,208.99,-73.96897654805998,-13.60193152675371
Unburned,4209,21.28,326.23,-73.9563103025539,-13.574443079059655
Unburned,3865,14.47,255.47,-74.0096702304306,-13.534827375029984
Unburned,3865,17.11,212.74,-73.98164279356607,-13.551266544729366
Unburned,3883,16.92,217.03,-74.00724477916349,-13.540756255905173
Unburned,4134,15.59,138.96,-73.94822546499682,-13.593307700026166
Unburned,3781,34.99,193.76,-73.97086301015663,-13.567436219843522
Unburned,3868,14.53,295.92,-73.99565651199833,-13.544529180098472
Unburned,3627,25.46,258.23,-74.01802456257292,-13.536174847956154
Unburned,4133,18.29,146.36,-73.98972763112315,-13.523508602450072
Unburned,3828,17.56,232.12,-74.00832275750442,-13.522700118694367
Unburned,3437,25.0,270.0,-74.01398214379438,-13.565010768576393
Unburned,3856,6.71,97.91,-73.96897654805998,-13.559351382286444
Unburned,4164,14.62,303.94,-73.98245127732179,-13.540486761319933
Unburned,3760,14.27,281.0,-74.01074820877155,-13.523239107864832
Unburned,3832,19.38,288.79,-73.98352925566273,-13.557734414775034
Unburned,3310,18.95,124.46,-74.01748557340244,-13.570400660281116
Unburned,4189,12.64,234.74,-73.98757167444126,-13.521352645768182
Unburned,3813,20.46,321.34,-73.98218178273655,-13.562046328138798
Unburned,4152,22.16,244.07,-73.99242257697551,-13.503566003142616
Unburned,3751,12.8,175.8,-74.01155669252725,-13.515154270307768
Unburned,4138,8.5,167.12,-73.98352925566273,-13.543990190928007
Unburned,4129,15.86,155.77,-73.9848767285889,-13.545337663854177
Unburned,3883,15.37,302.01,-74.0058973062373,-13.52916798874002
Unburned,3623,29.42,113.7,-73.95145940001966,-13.607321418458433
Unburned,3892,19.82,312.35,-74.00616680082254,-13.51084235694399
Unburned,3627,25.48,132.79,-74.00643629540777,-13.55638694184885
Unburned,3794,14.62,303.94,-74.00050741453258,-13.555578458093144
Unburned,3594,8.43,115.92,-74.0050888224816,-13.561776833553573
Unburned,4112,15.57,314.2,-73.9886496527822,-13.491438746807013
Unburned,3997,34.74,144.8,-73.95954423757674,-13.582797411201959
Unburned,3897,28.92,105.29,-73.9878411690265,-13.557195425604554
Unburned,4195,30.39,83.66,-73.9487644541673,-13.58091094910531
Unburned,3945,8.08,124.78,-73.97975633146942,-13.547224125950827
Unburned,3696,31.93,170.77,-73.97274947225328,-13.585492357054328
Unburned,3975,21.11,262.77,-73.97867835312847,-13.549380082632716
Unburned,3951,18.08,246.63,-74.0029328657997,-13.524317086205777
Unburned,3569,26.09,279.52,-74.01748557340244,-13.541564739660878
Unburned,3159,35.46,180.0,-74.00401084414065,-13.584953367883848
Unburned,4142,28.92,285.29,-73.95334586211631,-13.580102465349604
Unburned,3656,26.77,253.21,-73.9765223964466,-13.584953367883848
Unburned,3866,22.03,180.0,-73.95038142167871,-13.600584053827525
Unburned,3659,25.77,159.83,-73.9886496527822,-13.570939649451581
Unburned,3840,27.32,271.8,-73.96762907513381,-13.586300840810033
Unburned,3794,19.2,294.73,-74.00993972501584,-13.515154270307768
Unburned,3996,21.8,272.32,-73.97760037478754,-13.558273403945499
Unburned,3277,17.0,334.17,-74.002124382044,-13.5755210574006
Unburned,3438,38.69,316.68,-74.01910254091386,-13.564471779405928
Unburned,4086,16.14,293.05,-73.98945813653792,-13.490899757636534
Unburned,3319,19.22,239.29,-74.00535831706682,-13.578216003252955
Unburned,3651,33.0,270.0,-73.99619550116881,-13.565549757746872
Unburned,3531,28.16,311.7,-73.98164279356607,-13.579832970764365
Unburned,3705,6.79,237.05,-73.9886496527822,-13.569592176525411
Unburned,3972,20.97,267.58,-73.99754297409498,-13.526742537472906
Unburned,4223,30.04,120.26,-73.97032402098617,-13.545607158439417
Unburned,3590,26.76,286.79,-74.01856355174338,-13.534288385859504
Unburned,3887,18.11,322.36,-74.00562781165206,-13.509764378603045
Unburned,3944,20.09,13.16,-73.99808196326546,-13.50464398148356
Unburned,4048,26.38,256.8,-73.93987113285452,-13.583605894957664
Unburned,4031,25.01,271.99,-73.94041012202499,-13.583336400372438
Unburned,4129,14.62,123.94,-73.98083430981036,-13.542912212587062
Unburned,4060,22.66,274.45,-73.99511752282787,-13.499523584364077
Unburned,3682,16.64,192.88,-73.96143069967339,-13.59600264587852
Unburned,3595,27.81,232.13,-73.95684929172437,-13.606512934702714
Unburned,4020,29.36,191.96,-73.96170019425863,-13.568783692769692
Unburned,4194,19.68,185.34,-73.99484802824263,-13.516232248648713
Unburned,3442,27.4,244.08,-73.99673449033928,-13.577946508667715
Unburned,4220,9.36,126.09,-73.95738828089485,-13.576060046571065
Unburned,3737,34.11,332.15,-73.96843755888952,-13.572017627792526
Unburned,3671,19.38,288.79,-74.00374134955541,-13.5545004797522
Unburned,3977,28.39,116.7,-73.96789856971904,-13.55045806097366
Unburned,3903,31.45,145.13,-73.94822546499682,-13.59950607548658
Unburned,4227,8.72,282.19,-73.97194098849758,-13.546415642195122
Unburned,4157,14.4,198.93,-73.98299026649225,-13.542373223416583
Unburned,3893,8.34,186.52,-73.99619550116881,-13.538869793808523
Unburned,3881,34.89,120.71,-73.96978503181569,-13.560429360627388
Unburned,3839,17.64,275.84,-73.96789856971904,-13.57498206823012
Unburned,3859,17.05,257.81,-73.99323106073122,-13.555039468922665
Unburned,3940,23.6,207.22,-73.99350055531644,-13.549110588047476
Unburned,4140,14.95,316.69,-73.98811066361174,-13.491977735977478
Unburned,4166,13.35,294.16,-73.94822546499682,-13.55638694184885
Unburned,3779,31.63,113.21,-73.98730217985603,-13.560159866042149
Unburned,3998,21.23,99.6,-73.98811066361174,-13.5545004797522
Unburned,4110,1.33,134.19,-73.94580001372971,-13.578485497838194
Unburned,3363,9.93,202.37,-73.99754297409498,-13.57525156281536
Unburned,4171,18.01,314.2,-73.98757167444126,-13.492786219733183
Unburned,3545,23.06,213.21,-73.95846625923579,-13.60543495636177
Unburned,3805,29.31,202.68,-73.95792727006531,-13.60004506465706
Unburned,3618,12.53,295.92,-73.98891914736744,-13.566897230673042
Unburned,3989,3.41,122.95,-74.002124382044,-13.530245967080965
Unburned,4113,15.02,276.93,-73.94526102455923,-13.58064145452007
Unburned,3302,21.52,210.45,-74.01101770335679,-13.5755210574006
Unburned,4150,14.05,266.29,-73.98379875024796,-13.541834234246117
Unburned,4083,19.7,149.23,-73.98056481522514,-13.544259685513232
Unburned,4187,13.25,277.91,-73.96143069967339,-13.579563476179139
Unburned,4038,28.18,302.95,-73.99026662029362,-13.530245967080965
Unburned,4188,20.06,158.6,-73.95011192709347,-13.5545004797522
Unburned,3868,16.35,186.52,-73.99754297409498,-13.539678277564228
Unburned,3594,32.69,196.58,-73.9630476671848,-13.6003145592423
Unburned,3550,14.18,247.38,-73.97409694517947,-13.588995786662387
Unburned,3827,26.54,346.5,-73.99484802824263,-13.542642718001822
Unburned,4097,20.37,121.55,-73.97679189103182,-13.539139288393748
Unburned,3832,31.27,189.47,-73.97140199932711,-13.564741273991167
Unburned,4029,13.65,180.0,-73.95226788377536,-13.567166725258282
Unburned,3643,18.6,136.17,-73.99889044702117,-13.560429360627388
Unburned,3823,17.56,232.13,-73.96062221591768,-13.589534775832853
Unburned,3445,7.06,203.79,-73.96709008596333,-13.60193152675371
Unburned,3977,14.71,202.37,-73.96897654805998,-13.580102465349604
Unburned,4108,23.06,124.77,-73.94337456246258,-13.580371959934844
Unburned,4089,15.48,208.75,-73.95199838919012,-13.594924667537576
Unburned,3672,28.23,263.07,-73.97113250474187,-13.587109324565738
Unburned,3767,35.32,196.38,-73.97032402098617,-13.567705714428762
Unburned,3614,22.28,249.17,-74.00913124126014,-13.55665643643409
Unburned,4149,23.27,318.84,-73.9592747429915,-13.542912212587062
Unburned,3444,22.56,254.17,-73.99646499575404,-13.578485497838194
Unburned,3788,45.03,131.53,-73.96331716177004,-13.588726292077148
Unburned,3529,23.34,159.68,-74.01532961672055,-13.550188566388421
Unburned,4034,15.9,276.52,-73.97625290186136,-13.555039468922665
Unburned,3572,23.39,193.36,-73.97167149391235,-13.591960227099982
Unburned,3874,24.97,131.34,-74.00023791994735,-13.532671418348095
Unburned,3781,25.21,262.09,-73.9840682448332,-13.566358241502577
Unburned,3921,18.72,162.85,-73.99107510404933,-13.561507338968333
Unburned,3744,19.29,272.65,-74.0104787141863,-13.541295245075638
Unburned,4155,31.27,298.67,-73.96250867801433,-13.547493620536066
Unburned,4218,23.27,227.36,-73.95065091626395,-13.582797411201959
Unburned,4030,22.9,299.88,-73.99350055531644,-13.493864198074128
Unburned,3980,18.25,233.9,-74.002124382044,-13.523778097035311
Unburned,4160,11.44,260.8,-73.973557956009,-13.551536039314605
Unburned,3993,21.61,219.07,-73.99565651199833,-13.505721959824506
Unburned,3461,22.62,211.3,-73.98838015819697,-13.579563476179139
Unburned,3520,14.63,236.06,-73.97463593434995,-13.590882248759037
Unburned,4157,15.71,323.7,-73.97975633146942,-13.538600299223283
Unburned,4176,20.97,272.42,-73.973557956009,-13.545876653024656
Unburned,3769,23.04,249.97,-73.98352925566273,-13.563393801064983
Unburned,3262,45.41,297.57,-74.00535831706682,-13.57686853032677
Unburned,4265,13.01,110.5,-73.95038142167871,-13.576060046571065
Unburned,4104,17.25,254.89,-73.99457853365739,-13.525125569961496
Unburned,4058,18.11,142.35,-73.98460723400366,-13.547493620536066
Unburned,3518,25.81,193.94,-74.01290416545343,-13.549110588047476
Unburned,4035,22.61,201.09,-73.96143069967339,-13.568514198184467
Unburned,3836,7.9,158.9,-73.94337456246258,-13.595463656708041
Unburned,3596,14.73,149.55,-74.0126346708682,-13.547493620536066
Unburned,4018,11.62,256.34,-73.99242257697551,-13.547493620536066
Unburned,4044,19.7,210.78,-73.96520362386669,-13.560968349797854
Unburned,3326,24.8,161.07,-73.98595470692985,-13.58064145452007
Unburned,4113,6.23,152.78,-73.94580001372971,-13.577946508667715
Unburned,3340,30.4,238.38,-73.98622420151509,-13.584144884128143
Unburned,3899,13.39,302.95,-74.0058973062373,-13.527012032058146
Unburned,3427,30.58,260.54,-73.98245127732179,-13.57902448700866
Unburned,3975,8.86,301.28,-73.99377004990168,-13.547224125950827
Unburned,4054,9.45,270.0,-73.98002582605466,-13.531054450836685
Unburned,3567,11.34,274.63,-74.00993972501584,-13.565280263161632
Unburned,4133,29.68,96.52,-73.94795597041158,-13.581719432861014
Unburned,3876,16.4,285.96,-74.00724477916349,-13.5124593244554
Unburned,3914,13.39,258.23,-73.98137329898084,-13.5545004797522
Unburned,3912,20.59,232.9,-73.99996842536211,-13.500332068119796
Unburned,4179,17.05,257.81,-73.9517288946049,-13.591151743344277
Unburned,3809,15.59,138.96,-73.99700398492452,-13.55288351224079
Unburned,3640,26.01,164.16,-73.99403954448692,-13.568514198184467
Unburned,4055,39.41,296.94,-73.96520362386669,-13.55288351224079
Unburned,3527,20.14,213.01,-74.0029328657997,-13.564741273991167
Unburned,3421,27.37,306.45,-73.98433773941844,-13.582797411201959
Unburned,3614,23.63,294.02,-74.01694658423197,-13.53186293459239
Unburned,4221,22.14,312.56,-73.98649369610033,-13.493594703488888
Unburned,3910,13.01,290.5,-73.98164279356607,-13.5545004797522
Unburned,3497,23.62,182.18,-74.01155669252725,-13.561237844383093
Unburned,3830,21.11,262.77,-73.99377004990168,-13.55665643643409
Unburned,4228,13.15,273.97,-73.98514622317414,-13.496828638511722
Unburned,3795,26.23,162.29,-73.95092041084918,-13.60193152675371
Unburned,3774,14.35,319.4,-74.01155669252725,-13.530784956251445
Unburned,4028,20.18,252.04,-74.00239387662923,-13.511920335284934
Unburned,3754,33.84,156.58,-73.98918864195268,-13.564202284820688
Unburned,3583,42.73,327.26,-73.97786986937277,-13.57498206823012
Unburned,3636,17.05,125.49,-74.0058973062373,-13.555039468922665
Unburned,4144,18.42,270.0,-73.97409694517947,-13.551805533899845
